slug,statut,categorie,nb_mots_total,nb_sources,nb_fantomes_p1,nb_fantomes_p2
nasa-lance-mission-sauvetage-telescope-swift,rejet_sources,societe,0,0,0,0
secheresse-estivale-france-changement-climatique,erreur,,0,0,0,0
emissions-co2-france-recul-2023,erreur,,0,0,0,0
cma-cgm-investit-mombasa,rejet_sources,societe,0,0,0,0
reformes-economiques-allemagne-merz,erreur,,0,0,0,0
france-dette-publique-insoutenable,erreur,,0,0,0,0
tension-ressource-eau-france,erreur,,0,0,0,0
seisme-venezuela-bilan-humain-economique,erreur,,0,0,0,0
le-coucou-un-oiseau-strategique,erreur,,0,0,0,0
demence-senile-alzheimer-differences,erreur,,0,0,0,0
sommeil-et-hypertension-symptomes,erreur,,0,0,0,0
premier-cas-ebola-france,erreur,,0,0,0,0
asteroide-paris-impact,rejet_sources,societe,0,0,0,0
congres-international-des-mathematiciens-2026,erreur,,0,0,0,0
deux-planetes-geantes-moins-denses-que-barbe-a-papa,erreur,,0,0,0,0
